Latitude;Longitude;Date;Source;Channel;Merchants;Cards;Txs;Avg. amount;Category level;Category;Merchants by category;Cards by category;Txs by category;Avg. amount by category
40,475;-3,835;2015-10;all;pos;9;150;171;87,20398;subcategories;filtered;;;171;87,20398
40,475;-3,835;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,475;-3,835;2015-10;bbva;pos;8;102;120;100,40633;subcategories;filtered;;;120;100,40634
40,475;-3,835;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,39;-3,83;2015-10;all;pos;;;;;subcategories;filtered;;;16;182,88563
40,39;-3,83;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,39;-3,83;2015-10;bbva;pos;;;;;subcategories;;;;;
40,47;-3,83;2015-10;all;pos;;;;;subcategories;;;;;
40,47;-3,83;2015-10;bbva;pos;;;;;subcategories;;;;;
40,47;-3,825;2015-10;all;pos;;;;;subcategories;filtered;;;130;35,60677
40,47;-3,825;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,47;-3,825;2015-10;bbva;pos;;;;;subcategories;filtered;;;130;35,60677
40,475;-3,825;2015-10;all;pos;;;;;subcategories;filtered;;;35;37,75514
40,475;-3,825;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,475;-3,825;2015-10;bbva;pos;;;;;subcategories;;;;;
40,47;-3,82;2015-10;all;pos;;;;;subcategories;filtered;;;621;47,11417
40,47;-3,82;2015-10;bbva;pos;;;;;subcategories;filtered;;;621;47,11417
40,465;-3,815;2015-10;all;pos;15;216;248;159,13;subcategories;filtered;;;248;159,13
40,465;-3,815;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,465;-3,815;2015-10;bbva;pos;14;215;247;158,97049;subcategories;filtered;;;247;158,97049
40,465;-3,81;2015-10;all;pos;6;67;137;32,93752;subcategories;filtered;;;137;32,93752
40,465;-3,81;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,465;-3,81;2015-10;bbva;pos;6;66;136;32,81875;subcategories;filtered;;;136;32,81875
40,465;-3,81;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,47;-3,81;2015-10;all;pos;;;;;subcategories;filtered;;;73;25,20151
40,47;-3,81;2015-10;bbva;pos;;;;;subcategories;filtered;;;73;25,20151
40,465;-3,805;2015-10;all;pos;;;;;subcategories;filtered;;;533;12,20412
40,465;-3,805;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,465;-3,805;2015-10;bbva;pos;;;;;subcategories;filtered;;;502;12,12109
40,465;-3,805;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,47;-3,805;2015-10;all;pos;;;;;subcategories;;;;;
40,47;-3,805;2015-10;bbva;pos;;;;;subcategories;;;;;
40,365;-3,8;2015-10;all;pos;;;;;subcategories;;;;;
40,365;-3,8;2015-10;bbva;pos;;;;;subcategories;;;;;
40,37;-3,8;2015-10;all;pos;;;;;subcategories;;;;;
40,37;-3,8;2015-10;bbva;pos;;;;;subcategories;;;;;
40,46;-3,8;2015-10;all;pos;;;;;subcategories;;;;;
40,46;-3,8;2015-10;bbva;pos;;;;;subcategories;;;;;
40,465;-3,8;2015-10;all;pos;12;880;2258;18,033;subcategories;filtered;;;2258;18,033
40,465;-3,8;2015-10;national;bbva_pos;;;;;subcategories;filtered;;;2035;9,38572
40,465;-3,8;2015-10;bbva;pos;;;;;subcategories;filtered;;;329;69,93231
40,465;-3,8;2015-10;foreign;bbva_pos;;;;;subcategories;filtered;;;13;22,76154
40,47;-3,8;2015-10;all;pos;;;;;subcategories;filtered;;;849;7,42297
40,47;-3,8;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,47;-3,8;2015-10;bbva;pos;;;;;subcategories;filtered;;;114;9,54219
40,47;-3,8;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,38;-3,795;2015-10;all;pos;12;275;571;31,78501;subcategories;filtered;;;571;31,78501
40,38;-3,795;2015-10;national;bbva_pos;;;;;subcategories;filtered;;;78;58,5291
40,38;-3,795;2015-10;bbva;pos;;;;;subcategories;filtered;;;504;28,59228
40,38;-3,795;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,465;-3,795;2015-10;all;pos;18;1527;2467;32,422;subcategories;es_restaurant;5;340;417;39,17149
40,465;-3,795;2015-10;all;pos;18;1527;2467;32,422;subcategories;filtered;;;2050;31,04905
40,465;-3,795;2015-10;national;bbva_pos;5;767;933;40,4069;subcategories;filtered;;;933;40,4069
40,465;-3,795;2015-10;bbva;pos;18;919;1729;31,23861;subcategories;filtered;;;1729;31,2386
40,465;-3,795;2015-10;foreign;bbva_pos;;;;;subcategories;filtered;;;17;48,28177
40,38;-3,79;2015-10;all;pos;;;;;subcategories;;;;;
40,38;-3,79;2015-10;bbva;pos;;;;;subcategories;;;;;
40,45;-3,79;2015-10;all;pos;;;;;subcategories;filtered;;;20;48,156
40,45;-3,79;2015-10;bbva;pos;;;;;subcategories;filtered;;;20;48,156
40,455;-3,79;2015-10;all;pos;;;;;subcategories;;;;;
40,455;-3,79;2015-10;bbva;pos;;;;;subcategories;;;;;
40,46;-3,79;2015-10;all;pos;12;134;159;48,89629;subcategories;filtered;;;159;48,89629
40,46;-3,79;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,46;-3,79;2015-10;bbva;pos;11;124;148;47,67007;subcategories;filtered;;;148;47,67007
40,46;-3,79;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,465;-3,79;2015-10;all;pos;3;136;161;114,21037;subcategories;es_restaurant;3;136;161;114,21037
40,465;-3,79;2015-10;bbva;pos;3;136;161;114,21037;subcategories;es_restaurant;3;136;161;114,21037
40,38;-3,785;2015-10;all;pos;;;;;subcategories;;;;;
40,38;-3,785;2015-10;bbva;pos;;;;;subcategories;;;;;
40,385;-3,785;2015-10;all;pos;;;;;subcategories;filtered;;;159;25,43057
40,385;-3,785;2015-10;bbva;pos;;;;;subcategories;filtered;;;159;25,43057
40,445;-3,785;2015-10;all;pos;81;19984;27988;47,17758;subcategories;es_fashionbig;4;9206;11215;47,81527
40,445;-3,785;2015-10;all;pos;81;19984;27988;47,17758;subcategories;es_foodsme;10;1515;2226;34,60181
40,445;-3,785;2015-10;all;pos;81;19984;27988;47,17758;subcategories;es_fashionsme;9;87;93;100,02129
40,445;-3,785;2015-10;all;pos;81;19984;27988;47,17758;subcategories;es_restaurant;11;1433;1834;46,67745
40,445;-3,785;2015-10;all;pos;81;19984;27988;47,17758;subcategories;es_pharmacy;7;355;428;30,8353
40,445;-3,785;2015-10;all;pos;81;19984;27988;47,17758;subcategories;es_beauty;9;359;410;39,58268
40,445;-3,785;2015-10;all;pos;81;19984;27988;47,17758;subcategories;filtered;;;11782;49,46524
40,445;-3,785;2015-10;national;bbva_pos;25;13458;17718;47,04223;subcategories;es_fashionbig;4;9042;11026;47,75794
40,445;-3,785;2015-10;national;bbva_pos;25;13458;17718;47,04223;subcategories;filtered;;;6692;45,863
40,445;-3,785;2015-10;bbva;pos;81;7821;11995;47,43749;subcategories;es_restaurant;11;302;368;43,78946
40,445;-3,785;2015-10;bbva;pos;81;7821;11995;47,43749;subcategories;es_fashionbig;4;1105;1339;49,27723
40,445;-3,785;2015-10;bbva;pos;81;7821;11995;47,43749;subcategories;es_cafe;4;58;65;17,04985
40,445;-3,785;2015-10;bbva;pos;81;7821;11995;47,43749;subcategories;es_beauty;9;131;161;52,41168
40,445;-3,785;2015-10;bbva;pos;81;7821;11995;47,43749;subcategories;es_pharmacy;7;355;428;30,8353
40,445;-3,785;2015-10;bbva;pos;81;7821;11995;47,43749;subcategories;es_fashionsme;9;87;93;100,02129
40,445;-3,785;2015-10;bbva;pos;81;7821;11995;47,43749;subcategories;filtered;;;9541;47,6753
40,445;-3,785;2015-10;foreign;bbva_pos;21;250;304;53,07266;subcategories;es_restaurant;7;30;36;48,8025
40,445;-3,785;2015-10;foreign;bbva_pos;21;250;304;53,07266;subcategories;filtered;;;268;53,64627
40,45;-3,785;2015-10;all;pos;21;571;1000;38,4204;subcategories;filtered;;;1000;38,4204
40,45;-3,785;2015-10;national;bbva_pos;;;;;subcategories;filtered;;;218;18,37647
40,45;-3,785;2015-10;bbva;pos;21;402;811;43,49568;subcategories;filtered;;;811;43,49568
40,45;-3,785;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,455;-3,785;2015-10;all;pos;;;;;subcategories;filtered;;;165;46,36467
40,455;-3,785;2015-10;bbva;pos;;;;;subcategories;filtered;;;165;46,36467
40,46;-3,785;2015-10;all;pos;96;2009;3377;43,18283;subcategories;es_fashionsme;16;208;264;86,37697
40,46;-3,785;2015-10;all;pos;96;2009;3377;43,18283;subcategories;es_cafe;5;39;55;19,28873
40,46;-3,785;2015-10;all;pos;96;2009;3377;43,18283;subcategories;es_pharmacy;6;126;200;37,57385
40,46;-3,785;2015-10;all;pos;96;2009;3377;43,18283;subcategories;es_restaurant;5;154;220;23,62695
40,46;-3,785;2015-10;all;pos;96;2009;3377;43,18283;subcategories;es_beauty;5;79;109;71,33128
40,46;-3,785;2015-10;all;pos;96;2009;3377;43,18283;subcategories;filtered;;;2529;40,12504
40,46;-3,785;2015-10;national;bbva_pos;6;518;748;18,98116;subcategories;filtered;;;748;18,98116
40,46;-3,785;2015-10;bbva;pos;95;1542;2692;49,3932;subcategories;es_fashionsme;16;126;169;122,15497
40,46;-3,785;2015-10;bbva;pos;95;1542;2692;49,3932;subcategories;es_pharmacy;6;90;126;42,54286
40,46;-3,785;2015-10;bbva;pos;95;1542;2692;49,3932;subcategories;es_beauty;5;79;109;71,33128
40,46;-3,785;2015-10;bbva;pos;95;1542;2692;49,3932;subcategories;es_restaurant;5;154;220;23,62695
40,46;-3,785;2015-10;bbva;pos;95;1542;2692;49,3932;subcategories;filtered;;;2068;45,44916
40,46;-3,785;2015-10;foreign;bbva_pos;;;;;subcategories;filtered;;;17;19,34824
40,465;-3,785;2015-10;all;pos;12;1084;1400;48,84689;subcategories;filtered;;;1400;48,84688
40,465;-3,785;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,465;-3,785;2015-10;bbva;pos;12;751;1038;37,70361;subcategories;es_restaurant;4;220;254;43,51465
40,465;-3,785;2015-10;bbva;pos;12;751;1038;37,70361;subcategories;filtered;;;784;35,82096
40,465;-3,785;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,47;-3,785;2015-10;all;pos;;;;;subcategories;;;;;
40,47;-3,785;2015-10;bbva;pos;;;;;subcategories;;;;;
40,535;-3,785;2015-10;all;pos;;;;;subcategories;;;;;
40,535;-3,785;2015-10;bbva;pos;;;;;subcategories;;;;;
40,375;-3,78;2015-10;all;pos;;;;;subcategories;filtered;;;299;37,94104
40,375;-3,78;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,375;-3,78;2015-10;bbva;pos;;;;;subcategories;filtered;;;65;44,99769
40,38;-3,78;2015-10;all;pos;;;;;subcategories;es_beauty;7;126;151;35,34212
40,38;-3,78;2015-10;all;pos;;;;;subcategories;es_pharmacy;7;212;270;26,17178
40,38;-3,78;2015-10;all;pos;;;;;subcategories;es_foodsme;8;56;107;20,88748
40,38;-3,78;2015-10;all;pos;;;;;subcategories;filtered;;;7743;27,64405
40,38;-3,78;2015-10;national;bbva_pos;;;;;subcategories;es_beauty;4;103;124;37,26419
40,38;-3,78;2015-10;national;bbva_pos;;;;;subcategories;filtered;;;7505;26,24484
40,38;-3,78;2015-10;bbva;pos;54;826;1798;31,77055;subcategories;es_foodsme;8;56;107;20,88748
40,38;-3,78;2015-10;bbva;pos;54;826;1798;31,77055;subcategories;es_cafe;6;17;26;21,19846
40,38;-3,78;2015-10;bbva;pos;54;826;1798;31,77055;subcategories;es_sportandtoys;3;18;22;42,76
40,38;-3,78;2015-10;bbva;pos;54;826;1798;31,77055;subcategories;es_pharmacy;7;155;200;27,1134
40,38;-3,78;2015-10;bbva;pos;54;826;1798;31,77055;subcategories;es_beauty;7;32;41;27,1139
40,38;-3,78;2015-10;bbva;pos;54;826;1798;31,77055;subcategories;filtered;;;1402;33,42529
40,385;-3,78;2015-10;all;pos;;;;;subcategories;filtered;;;57;25,73088
40,385;-3,78;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,385;-3,78;2015-10;bbva;pos;;;;;subcategories;filtered;;;35;31,59286
40,385;-3,78;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,395;-3,78;2015-10;all;pos;;;;;subcategories;filtered;;;121;32,69273
40,395;-3,78;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,395;-3,78;2015-10;bbva;pos;;;;;subcategories;filtered;;;35;35,28743
40,445;-3,78;2015-10;all;pos;;;;;subcategories;filtered;;;1546;55,05248
40,445;-3,78;2015-10;bbva;pos;;;;;subcategories;filtered;;;1546;55,05248
40,45;-3,78;2015-10;all;pos;;;;;subcategories;;;;;
40,45;-3,78;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,45;-3,78;2015-10;bbva;pos;;;;;subcategories;;;;;
40,455;-3,78;2015-10;all;pos;;;;;subcategories;filtered;;;49;144,07612
40,455;-3,78;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,455;-3,78;2015-10;bbva;pos;;;;;subcategories;filtered;;;48;140,02854
40,46;-3,78;2015-10;all;pos;57;933;1270;57,04706;subcategories;es_foodsme;7;98;155;28,08323
40,46;-3,78;2015-10;all;pos;57;933;1270;57,04706;subcategories;filtered;;;1115;61,07343
40,46;-3,78;2015-10;national;bbva_pos;7;638;819;52,12579;subcategories;filtered;;;819;52,12579
40,46;-3,78;2015-10;bbva;pos;57;369;571;61,90363;subcategories;es_beauty;6;69;97;63,62691
40,46;-3,78;2015-10;bbva;pos;57;369;571;61,90363;subcategories;es_fashionsme;11;61;72;59,80639
40,46;-3,78;2015-10;bbva;pos;57;369;571;61,90363;subcategories;es_foodsme;7;98;155;28,08323
40,46;-3,78;2015-10;bbva;pos;57;369;571;61,90363;subcategories;filtered;;;247;83,06154
40,46;-3,78;2015-10;foreign;bbva_pos;;;;;subcategories;filtered;;;9;35,01111
40,465;-3,78;2015-10;all;pos;;;;;subcategories;filtered;;;110;77,53363
40,465;-3,78;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,465;-3,78;2015-10;bbva;pos;;;;;subcategories;filtered;;;22;357,73091
40,465;-3,78;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,47;-3,78;2015-10;all;pos;;;;;subcategories;;;;;
40,47;-3,78;2015-10;bbva;pos;;;;;subcategories;;;;;
40,52;-3,78;2015-10;all;pos;;;;;subcategories;;;;;
40,52;-3,78;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,52;-3,78;2015-10;bbva;pos;;;;;subcategories;;;;;
40,53;-3,78;2015-10;all;pos;;;;;subcategories;;;;;
40,53;-3,78;2015-10;bbva;pos;;;;;subcategories;;;;;
40,535;-3,78;2015-10;all;pos;;;;;subcategories;filtered;;;147;64,04857
40,535;-3,78;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,535;-3,78;2015-10;bbva;pos;;;;;subcategories;filtered;;;101;36,19545
40,535;-3,78;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,365;-3,775;2015-10;all;pos;;;;;subcategories;filtered;;;148;5,58595
40,365;-3,775;2015-10;bbva;pos;;;;;subcategories;filtered;;;148;5,58595
40,375;-3,775;2015-10;all;pos;23;300;357;60,41188;subcategories;filtered;;;357;60,41188
40,375;-3,775;2015-10;national;bbva_pos;;;;;subcategories;filtered;;;60;155,30266
40,375;-3,775;2015-10;bbva;pos;22;256;305;44,74875;subcategories;filtered;;;305;44,74875
40,38;-3,775;2015-10;all;pos;20;283;328;33,18299;subcategories;filtered;;;328;33,18299
40,38;-3,775;2015-10;national;bbva_pos;6;213;247;26,89194;subcategories;filtered;;;247;26,89194
40,38;-3,775;2015-10;bbva;pos;18;97;115;45,13443;subcategories;es_foodsme;6;30;34;23,98059
40,38;-3,775;2015-10;bbva;pos;18;97;115;45,13443;subcategories;es_pharmacy;4;24;32;23,59688
40,38;-3,775;2015-10;bbva;pos;18;97;115;45,13443;subcategories;filtered;;;49;73,87796
40,38;-3,775;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,39;-3,775;2015-10;all;pos;;;;;subcategories;;;;;
40,39;-3,775;2015-10;bbva;pos;;;;;subcategories;;;;;
40,395;-3,775;2015-10;all;pos;;;;;subcategories;filtered;;;277;100,11603
40,395;-3,775;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,395;-3,775;2015-10;bbva;pos;15;115;173;42,02798;subcategories;filtered;;;173;42,02798
40,395;-3,775;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,4;-3,775;2015-10;all;pos;;;;;subcategories;filtered;;;77;114,17792
40,4;-3,775;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,4;-3,775;2015-10;bbva;pos;;;;;subcategories;filtered;;;40;94,3
40,405;-3,775;2015-10;all;pos;;;;;subcategories;filtered;;;193;58,27523
40,405;-3,775;2015-10;bbva;pos;;;;;subcategories;filtered;;;193;58,27523
40,445;-3,775;2015-10;all;pos;;;;;subcategories;;;;;
40,445;-3,775;2015-10;bbva;pos;;;;;subcategories;;;;;
40,45;-3,775;2015-10;all;pos;4;12;18;72,97889;subcategories;filtered;;;18;72,97889
40,45;-3,775;2015-10;bbva;pos;4;12;18;72,97889;subcategories;filtered;;;18;72,97889
40,455;-3,775;2015-10;all;pos;;;;;subcategories;;;;;
40,455;-3,775;2015-10;bbva;pos;;;;;subcategories;;;;;
40,46;-3,775;2015-10;all;pos;11;387;671;27,97507;subcategories;filtered;;;671;27,97507
40,46;-3,775;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,46;-3,775;2015-10;bbva;pos;;;;;subcategories;filtered;;;507;27,7271
40,46;-3,775;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,465;-3,775;2015-10;all;pos;;;;;subcategories;;;;;
40,465;-3,775;2015-10;bbva;pos;;;;;subcategories;;;;;
40,47;-3,775;2015-10;all;pos;;;;;subcategories;;;;;
40,47;-3,775;2015-10;bbva;pos;;;;;subcategories;;;;;
40,515;-3,775;2015-10;all;pos;;;;;subcategories;;;;;
40,515;-3,775;2015-10;bbva;pos;;;;;subcategories;;;;;
40,52;-3,775;2015-10;all;pos;;;;;subcategories;es_restaurant;4;51;53;48,61038
40,52;-3,775;2015-10;all;pos;;;;;subcategories;filtered;;;1135;19,0861
40,52;-3,775;2015-10;national;bbva_pos;;;;;subcategories;filtered;;;1035;16,02261
40,52;-3,775;2015-10;bbva;pos;11;203;357;30,28193;subcategories;es_restaurant;4;51;53;48,61038
40,52;-3,775;2015-10;bbva;pos;11;203;357;30,28193;subcategories;filtered;;;304;27,08651
40,52;-3,775;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,375;-3,77;2015-10;all;pos;27;1145;1590;29,5564;subcategories;filtered;;;1590;29,5564
40,375;-3,77;2015-10;national;bbva_pos;6;415;639;20,2005;subcategories;filtered;;;639;20,2005
40,375;-3,77;2015-10;bbva;pos;;;;;subcategories;filtered;;;1061;34,12188
40,38;-3,77;2015-10;all;pos;60;1114;1558;33,2734;subcategories;es_foodsme;18;427;609;32,54399
40,38;-3,77;2015-10;all;pos;60;1114;1558;33,2734;subcategories;filtered;;;949;33,74147
40,38;-3,77;2015-10;national;bbva_pos;14;637;792;31,81;subcategories;filtered;;;792;31,81
40,38;-3,77;2015-10;bbva;pos;56;593;928;36,63681;subcategories;es_drugstoresme;4;48;57;30,25982
40,38;-3,77;2015-10;bbva;pos;56;593;928;36,63681;subcategories;es_pharmacy;8;60;72;24,44722
40,38;-3,77;2015-10;bbva;pos;56;593;928;36,63681;subcategories;es_restaurant;3;19;19;29,50053
40,38;-3,77;2015-10;bbva;pos;56;593;928;36,63681;subcategories;filtered;;;780;38,40185
40,38;-3,77;2015-10;foreign;bbva_pos;;;;;subcategories;filtered;;;6;29,39333
40,385;-3,77;2015-10;all;pos;;;;;subcategories;filtered;;;80;51,7785
40,385;-3,77;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,385;-3,77;2015-10;bbva;pos;;;;;subcategories;filtered;;;68;29,68971
40,39;-3,77;2015-10;all;pos;;;;;subcategories;filtered;;;114;25,50325
40,39;-3,77;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,39;-3,77;2015-10;bbva;pos;;;;;subcategories;filtered;;;38;31,04184
40,39;-3,77;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,395;-3,77;2015-10;all;pos;48;789;991;43,24579;subcategories;es_homesme;3;8;8;45,90125
40,395;-3,77;2015-10;all;pos;48;789;991;43,24579;subcategories;filtered;;;983;43,22418
40,395;-3,77;2015-10;national;bbva_pos;5;382;460;25,30159;subcategories;filtered;;;460;25,30159
40,395;-3,77;2015-10;bbva;pos;47;446;579;56,02074;subcategories;es_foodsme;9;35;49;23,69592
40,395;-3,77;2015-10;bbva;pos;47;446;579;56,02074;subcategories;filtered;;;530;59,00927
40,395;-3,77;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,4;-3,77;2015-10;all;pos;20;311;505;39,33182;subcategories;filtered;;;505;39,33182
40,4;-3,77;2015-10;national;bbva_pos;;;;;subcategories;filtered;;;224;35,41982
40,4;-3,77;2015-10;bbva;pos;20;186;299;42,78217;subcategories;filtered;;;299;42,78218
40,45;-3,77;2015-10;all;pos;6;237;291;34,87082;subcategories;filtered;;;291;34,87083
40,45;-3,77;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,45;-3,77;2015-10;bbva;pos;;;;;subcategories;filtered;;;206;33,23879
40,45;-3,77;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,455;-3,77;2015-10;all;pos;;;;;subcategories;filtered;;;64;149,25234
40,455;-3,77;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,455;-3,77;2015-10;bbva;pos;;;;;subcategories;filtered;;;51;90,42627
40,465;-3,77;2015-10;all;pos;;;;;subcategories;;;;;
40,465;-3,77;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,465;-3,77;2015-10;bbva;pos;;;;;subcategories;;;;;
40,47;-3,77;2015-10;all;pos;;;;;subcategories;filtered;;;50;88,315
40,47;-3,77;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,47;-3,77;2015-10;bbva;pos;;;;;subcategories;filtered;;;50;88,315
40,36;-3,765;2015-10;all;pos;;;;;subcategories;;;;;
40,36;-3,765;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,36;-3,765;2015-10;bbva;pos;;;;;subcategories;;;;;
40,36;-3,765;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,365;-3,765;2015-10;all;pos;6;109;143;28,59993;subcategories;filtered;;;143;28,59993
40,365;-3,765;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,365;-3,765;2015-10;bbva;pos;;;;;subcategories;filtered;;;67;33,5597
40,365;-3,765;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,37;-3,765;2015-10;all;pos;8;422;509;26,03776;subcategories;filtered;;;509;26,03776
40,37;-3,765;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,37;-3,765;2015-10;bbva;pos;8;415;498;25,49237;subcategories;filtered;;;498;25,49237
40,375;-3,765;2015-10;all;pos;13;284;387;51,38377;subcategories;filtered;;;387;51,38377
40,375;-3,765;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,375;-3,765;2015-10;bbva;pos;13;256;344;51,3039;subcategories;filtered;;;344;51,30389
40,38;-3,765;2015-10;all;pos;;;;;subcategories;filtered;;;124;115,44008
40,38;-3,765;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,38;-3,765;2015-10;bbva;pos;13;73;99;62,91;subcategories;filtered;;;99;62,91
40,385;-3,765;2015-10;all;pos;34;1301;1548;51,64224;subcategories;es_hospital;4;21;24;97,76625
40,385;-3,765;2015-10;all;pos;34;1301;1548;51,64224;subcategories;filtered;;;1524;50,91588
40,385;-3,765;2015-10;national;bbva_pos;6;355;400;89,80408;subcategories;filtered;;;400;89,80408
40,385;-3,765;2015-10;bbva;pos;34;985;1191;35,51825;subcategories;es_hospital;4;21;24;97,76625
40,385;-3,765;2015-10;bbva;pos;34;985;1191;35,51825;subcategories;filtered;;;1167;34,23809
40,385;-3,765;2015-10;foreign;bbva_pos;;;;;subcategories;filtered;;;12;305,14083
40,39;-3,765;2015-10;all;pos;55;2942;3488;36,5166;subcategories;filtered;;;3488;36,5166
40,39;-3,765;2015-10;national;bbva_pos;14;2392;2752;34,5599;subcategories;filtered;;;2752;34,5599
40,39;-3,765;2015-10;bbva;pos;54;835;1070;40,47262;subcategories;es_restaurant;11;264;297;34,4798
40,39;-3,765;2015-10;bbva;pos;54;835;1070;40,47262;subcategories;filtered;;;773;42,77516
40,39;-3,765;2015-10;foreign;bbva_pos;5;10;14;21,93857;subcategories;filtered;;;14;21,93857
40,395;-3,765;2015-10;all;pos;133;4547;7161;34,82128;subcategories;es_foodsme;11;211;301;25,5007
40,395;-3,765;2015-10;all;pos;133;4547;7161;34,82128;subcategories;es_beauty;13;172;212;41,76212
40,395;-3,765;2015-10;all;pos;133;4547;7161;34,82128;subcategories;es_shoe;8;711;765;42,54787
40,395;-3,765;2015-10;all;pos;133;4547;7161;34,82128;subcategories;es_fashionsme;16;566;641;50,72211
40,395;-3,765;2015-10;all;pos;133;4547;7161;34,82128;subcategories;es_pharmacy;7;196;255;22,88553
40,395;-3,765;2015-10;all;pos;133;4547;7161;34,82128;subcategories;es_hospital;10;68;78;198,28359
40,395;-3,765;2015-10;all;pos;133;4547;7161;34,82128;subcategories;filtered;;;4909;29,8354
40,395;-3,765;2015-10;national;bbva_pos;32;3678;5366;30,5672;subcategories;filtered;;;5366;30,5672
40,395;-3,765;2015-10;bbva;pos;132;1813;3732;38,8333;subcategories;es_shoe;8;249;281;60,8673
40,395;-3,765;2015-10;bbva;pos;132;1813;3732;38,8333;subcategories;es_pharmacy;7;196;255;22,88553
40,395;-3,765;2015-10;bbva;pos;132;1813;3732;38,8333;subcategories;es_restaurant;7;55;85;33,02024
40,395;-3,765;2015-10;bbva;pos;132;1813;3732;38,8333;subcategories;es_books;4;14;15;18,94333
40,395;-3,765;2015-10;bbva;pos;132;1813;3732;38,8333;subcategories;es_fashionsme;16;238;283;56,597
40,395;-3,765;2015-10;bbva;pos;132;1813;3732;38,8333;subcategories;es_beauty;12;100;123;40,54423
40,395;-3,765;2015-10;bbva;pos;132;1813;3732;38,8333;subcategories;es_goods;7;31;31;22,10903
40,395;-3,765;2015-10;bbva;pos;132;1813;3732;38,8333;subcategories;es_hospital;10;27;34;229,24176
40,395;-3,765;2015-10;bbva;pos;132;1813;3732;38,8333;subcategories;es_foodsme;11;116;152;25,9925
40,395;-3,765;2015-10;bbva;pos;132;1813;3732;38,8333;subcategories;filtered;;;2473;34,55768
40,395;-3,765;2015-10;foreign;bbva_pos;;;;;subcategories;filtered;;;43;87,48186
40,4;-3,765;2015-10;all;pos;;;;;subcategories;filtered;;;4976;30,71838
40,4;-3,765;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,4;-3,765;2015-10;bbva;pos;;;;;subcategories;filtered;;;692;38,70817
40,4;-3,765;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,45;-3,765;2015-10;all;pos;;;;;subcategories;;;;;
40,45;-3,765;2015-10;bbva;pos;;;;;subcategories;;;;;
40,455;-3,765;2015-10;all;pos;;;;;subcategories;;;;;
40,455;-3,765;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,455;-3,765;2015-10;bbva;pos;;;;;subcategories;;;;;
